id,street,city,state,postalcode,Google/street,Google/city,Google/state,Google/postalcode
1205582,"113/23 EAST 87TH STREET","NEW YORK",NY,10028,"23 East 87th Street","New York","New York",10128
1205583,"1130 OREGON ROAD","MOHEGAN LAKE",NY,,"1130 Oregon Road",Cortlandt,"New York",10567
1205584,"1130 PELHAM PARKWAY SOUTH",BRONX,NY,,"1130 Pelham Parkway South",Bronx,"New York",10461
1205585,"1131 OGDEN AVENUE",BRONX,NY,10473,"1131 Ogden Avenue",Bronx,"New York",10452
1205586,"1131 WEST FARMS RD",BRONX,NY,,"1131 West Farms Road",Bronx,"New York",10459
1205587,"1132 CLAY AVENUE",BRONX,NY,,"1132 Clay Avenue",Bronx,"New York",10456
1205588,"1133 EAST 35TH STREET",BROOKLYN,NY,,"1133 East 35th Street",Brooklyn,"New York",11210
1205589,"1133 MAIN AVENUE",CLIFTON,NJ,,"1133 Main Avenue",Clifton,"New Jersey",07011
1205590,"1133 OGDEN AVE",BRONX,NY,,"1133 Ogden Avenue",Bronx,"New York",10452
1205591,"1133 YORK AVE","NEW YORK",NY,,"1133 York Avenue","New York","New York",10065
1205592,"1133 ZEREGA AVENUE",BRONX,NY,10462,"1133 Zerega Avenue",Bronx,"New York",10462
1205593,"1135 BRONX RIVER AVE",BRONX,NY,,"1135 Bronx River Avenue",Bronx,"New York",10472
1205594,"1135 PELHAM PARKWAY NORTH",BRONX,NY,,"1135 Pelham Parkway North",Bronx,"New York",10469
1205595,"1135A MORRIS PARK AVE",BRONX,NY,,"1135a Morris Park Avenue",Bronx,"New York",10461
1205596,"1136 SHERMAN AVENUE",BRONX,NY,,"1136 Sherman Avenue",Bronx,"New York",10456
1205597,"1137 EAST 223RD STREET",BRONX,NY,,"1137 East 223rd Street",Bronx,"New York",10466
1205598,"1138 DEAN STREET",BROOKLYN,NY,,"1138 Dean Street",Brooklyn,"New York",11216
1205599,"114 BENNETT AVENUE","NEW YORK",NY,,"114 Bennett Avenue","New York","New York",10033
1205600,"114 EAST 39TH STREET","NEW YORK",NY,,"114 East 39th Street","New York","New York",10016
1205601,"114 EAST 85TH STREET","NEW YORK",NY,10028,"114 East 85th Street","New York","New York",10028
1205602,"114 EAST 85TH STREET","NEW YORK",NY,,"114 East 85th Street","New York","New York",10028
1205603,"114 PERRY STREET","NEW YORK",NY,,"114 Perry Street","New York","New York",10014
1205604,"114 PIERREPONT STREET",BROOKLYN,NY,11201,"114 Pierrepont Street",Brooklyn,"New York",11201
1205605,"114 WEST 17TH STREET","NEW YORK",NY,,"114 West 17th Street","New York","New York",10011
1205606,"114 WEST 17TH STREET","NEW YORK",NY,,"114 West 17th Street","New York","New York",10011
1205607,"114 WEST 17TH STREET","NEW YORK",NY,,"114 West 17th Street","New York","New York",10011
1205608,"114 WEST 71ST STREET","NEW YORK",NY,,"114 West 71st Street","New York","New York",10023
1205609,"114 WEST 75TH STREETT","NEW YORK",NY,,"114 West 75th Street","New York","New York",10023
1205610,"114 WOOSTER STREET","NEW YORK",NY,,"114 Wooster Street","New York","New York",10012
1205611,"114-02 GUY R. BREWER BLVD",JAMAICA,NY,,"114-02 Guy R Brewer Boulevard",Queens,"New York",11434
1205612,"114-116 MAIN STREET","COLD SPRING",NY,10516,"114 Main Street","Cold Spring","New York",10516
